District code,District name,State name,Population,Male,Female,Literate,Households_with_Internet,Housholds_with_Electric_Lighting,Latitude,Longitude,Sex Ratio,Literacy Rate
532,Adilabad,ANDHRA PRADESH,2741239,1369597,1371642,1483347,5512,566108,19.284513950073435,78.81321233480176,1001.4931399528475,54.112282803506005
553,Anantapur,ANDHRA PRADESH,4081148,2064495,2016653,2310960,8606,897970,14.312065561843148,77.4601584478577,976.8262940816035,56.62524368143473
554,Chittoor,ANDHRA PRADESH,4174064,2090204,2083860,2667878,13763,944555,13.33109263067696,78.92763898886037,996.9648895514505,63.915598802509976
545,East Godavari,ANDHRA PRADESH,5154296,2569688,2584608,3288577,22411,1297273,16.782718320784902,82.2432074720511,1005.8061523422299,63.80264152466215
548,Guntur,ANDHRA PRADESH,4887813,2440521,2447292,2960441,19383,1186028,15.884925767634847,80.58657614107885,1002.7744075957552,60.56780404651324
536,Hyderabad,ANDHRA PRADESH,3943323,2018575,1924748,2892155,149034,869721,17.38971555555556,78.46668888888888,953.5181997200996,73.34309160066269
534,Karimnagar,ANDHRA PRADESH,3776269,1880800,1895469,2206829,8831,926768,18.515483193277312,79.43765428571413,1007.7993407060826,58.43940143035361
541,Khammam,ANDHRA PRADESH,2797370,1390988,1406382,1630234,8628,668519,17.683921325051784,80.67008643892335,1011.0669538486314,58.27738196949277
547,Krishna,ANDHRA PRADESH,4517398,2267375,2250023,3009718,30438,1163932,16.143872753151673,81.14805061000413,992.347097414411,66.62503503122815
552,Kurnool,ANDHRA PRADESH,4053463,2039227,2014236,2127161,10081,816721,15.43759715142429,77.90086836581717,987.7448660693489,52.47762222080231
538,Mahbubnagar,ANDHRA PRADESH,4053028,2050386,2002642,1940646,6153,757821,16.639546224256293,77.98933089244859,976.7146283675366,47.881386459703705
535,Medak,ANDHRA PRADESH,3033288,1523030,1510258,1637137,8635,604719,17.889304978038055,78.13778901903379,991.6140850803989,53.972356070376435
539,Nalgonda,ANDHRA PRADESH,3488809,1759772,1729037,2001019,7715,789225,17.113250515463907,79.16984453608244,982.5346692639728,57.35536109887357
533,Nizamabad,ANDHRA PRADESH,2551335,1250641,1300694,1389810,5261,545913,18.429485849056604,78.07523490566035,1040.0218767815863,54.47383428675576
549,Prakasam,ANDHRA PRADESH,3397448,1714764,1682684,1904435,6151,763746,15.489039001601704,80.11665790176184,981.2918862304084,56.054868242280676
542,Srikakulam,ANDHRA PRADESH,2703114,1341738,1361376,1495381,3988,615432,18.570900998697432,84.25874814010675,1014.6362404582713,55.32067829917643
543,Vizianagaram,ANDHRA PRADESH,2344474,1161477,1182997,1238388,4453,527736,18.28329696032972,83.45982854198873,1018.5281327137774,52.82157106455435
540,Warangal,ANDHRA PRADESH,3512576,1759281,1753295,2065023,12952,828077,18.01752608695651,79.87422028985509,996.5974736270101,58.78941836418628
546,West Godavari,ANDHRA PRADESH,3936966,1964918,1972048,2652389,12050,1017568,16.63297943925236,81.45912990654196,1003.6286501523219,67.37139716218022
